							ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	4	33		1.0	1.0	0.0	0.0	NaN	NaN	
	10	3	33		0.5	0.33	0.0	0.0	NaN	NaN	
	10	4	33		0.5	1.0	2.0	2.0	0.0	0.0	
	10	3	33		1.0	0.66	0.0	0.0	NaN	NaN	
	10	3	33		1.0	1.0	0.0	0.0	NaN	NaN	
	10	3	33		0.0	0.0	0.0	0.0	NaN	NaN	
	10	4	33		1.0	0.33	0.0	0.0	NaN	NaN	
	10	4	33		0.5	0.66	0.0	0.0	NaN	NaN	
	10	3	33		0.5	0.66	0.0	0.0	NaN	NaN	
	10	4	33		0.0	0.0	0.0	0.0	NaN	NaN	
	10	4	33		0.5	0.33	0.0	0.0	NaN	NaN	
	10	3	33		0.5	1.0	4.0	4.0	0.0	0.0	
	10	4	33		1.0	0.66	0.0	0.0	NaN	NaN	
	10	3	33		1.0	0.33	0.0	0.0	NaN	NaN	

MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	4	33	100	1.0	1.0	00:00:03.81	00:00:04.45	16.797900262467195	-14.382022471910114	
	10	3	33	100	0.5	0.33	00:00:14.00	00:08:31.60	3554.2857142857147	-97.26348709929633	
	10	4	33	100	0.5	1.0	00:00:11.37	00:10:00.53	5181.706244503079	-98.10667243934525	
	10	3	33	100	1.0	0.66	00:00:03.49	00:00:09.13	161.60458452722065	-61.77437020810515	
	10	3	33	100	1.0	1.0	00:00:03.53	00:00:03.92	11.048158640226632	-9.948979591836737	
	10	3	33	100	0.0	0.0	00:01:16.80	00:13:36.84	963.5937500000001	-90.59791391214927	
	10	4	33	100	1.0	0.33	00:00:18.28	00:06:20.06	1979.1028446389494	-95.19023312108614	
	10	4	33	100	0.5	0.66	00:00:08.97	00:04:37.30	2991.415830546265	-96.76523620627478	
	10	3	33	100	0.5	0.66	00:00:06.88	00:02:54.68	2438.9534883720935	-96.06136936111747	
	10	4	33	100	0.0	0.0	00:00:21.37	00:22:09.91	6123.256902199346	-98.39312434676032	
	10	4	33	100	0.5	0.33	00:00:15.50	00:11:49.30	4476.129032258064	-97.81474693359651	
	10	3	33	100	0.5	1.0	00:00:09.19	00:03:48.62	2387.704026115343	-95.98022920129473	
	10	4	33	100	1.0	0.66	00:00:05.50	00:00:18.58	237.81818181818178	-70.39827771797633	
	10	3	33	100	1.0	0.33	00:00:09.15	00:05:09.65	3284.153005464481	-97.04505086387857	

AVG MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	4	33		1.0	1.0	00:00:03.81	00:00:04.45	16.797900262467195	-14.382022471910114	
	10	3	33		0.5	0.33	00:00:14.00	00:08:31.60	3554.2857142857147	-97.26348709929633	
