							ACO_F1=1_F2=50_Sync=100					ACO_F1=1_F2=50_Sync=1000					ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					ACO_F1=50_F2=1_Sync=100					ACO_F1=50_F2=1_Sync=1000					ACO_F1=5_F2=1_Sync=100					ACO_F1=5_F2=1_Sync=1000					ACO_F1=F2=1_Sync=100					ACO_F1=F2=1_Sync=1000					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	42	300	1.0	1.0	14159.407	00:00:02.00	1	00:00:03.72	00:00:32.98	14159.407	00:00:02.00	1	00:00:04.88	00:00:35.79	14159.407	00:00:02.00	1	00:00:03.67	00:00:32.46	14159.407	00:00:02.00	1	00:00:04.67	00:00:34.63	13246.598	00:01:23.00	2	00:00:03.60	00:00:31.00	13246.598	00:01:23.00	2	00:00:04.99	00:00:33.94	13669.539	00:00:02.00	1	00:00:03.60	00:00:31.43	13246.598	00:01:23.00	2	00:00:03.71	00:00:31.64	14159.407	00:00:02.00	1	00:00:03.72	00:00:32.80	14159.407	00:00:02.00	1	00:00:04.58	00:00:34.05	
	10	3	42	200	0.5	0.66	12949.685	00:01:02.00	2	00:00:11.80	00:00:39.16	12931.25	00:01:02.00	2	00:02:49.92	00:03:13.62	13490.426	00:00:00.00	0	00:00:13.10	00:00:43.22	13399.793	00:00:00.00	0	00:03:10.17	00:03:34.84	12204.388	00:00:16.00	1	00:00:13.04	00:00:40.51	11930.889	00:09:13.00	2	00:08:10.03	00:08:31.97	12447.127	00:01:48.00	2	00:00:13.14	00:00:41.59	12204.388	00:00:16.00	1	00:00:12.42	00:00:39.05	13490.426	00:00:00.00	0	00:00:12.50	00:00:41.64	13399.793	00:00:00.00	0	00:03:09.78	00:03:34.55	
	10	2	42	100	0.5	1.0	13312.754	00:25:02.00	8	00:00:07.33	00:00:31.26	12993.267	00:25:48.00	8	00:00:57.38	00:01:23.14	13296.201	00:24:55.00	8	00:00:08.20	00:00:36.53	13141.503	00:24:06.00	8	00:00:56.78	00:01:24.16	12749.202	00:12:34.00	6	00:00:09.08	00:00:35.67	12749.202	00:12:34.00	6	00:01:50.18	00:02:16.00	12881.632	00:24:39.00	8	00:00:08.21	00:00:33.16	12749.202	00:12:34.00	6	00:00:08.94	00:00:35.01	13296.201	00:24:55.00	8	00:00:06.84	00:00:30.67	13141.503	00:24:06.00	8	00:00:58.10	00:01:25.10	
	10	4	42	300	1.0	0.66	13799.701	00:00:00.00	0	00:00:07.88	00:00:37.76	13892.413	00:00:00.00	0	00:00:53.11	00:01:20.87	13129.212	00:00:00.00	0	00:00:09.16	00:00:38.27	13877.799	00:00:00.00	0	00:06:54.75	00:07:20.38	12312.775	00:09:04.00	2	00:00:14.55	00:00:42.98	13169.884	00:00:00.00	0	00:02:04.67	00:02:29.99	13226.925	00:00:00.00	0	00:00:08.89	00:00:37.42	12312.775	00:09:04.00	2	00:00:14.32	00:00:42.53	13129.212	00:00:00.00	0	00:00:09.82	00:00:40.67	13877.799	00:00:00.00	0	00:07:12.34	00:07:38.16	
	10	4	42	200	0.5	1.0	13395.811	00:00:00.00	0	00:00:10.25	00:00:36.41	13372.238	00:00:00.00	0	00:02:35.47	00:03:01.12	13578.537	00:02:26.00	2	00:00:11.07	00:00:39.51	13395.811	00:00:00.00	0	00:02:36.36	00:03:02.66	12890.413	00:01:28.00	3	00:00:10.94	00:00:38.25	11762.587	00:16:52.00	5	00:03:52.68	00:04:14.73	12896.778	00:00:00.00	0	00:00:10.34	00:00:37.83	12890.413	00:01:28.00	3	00:00:11.73	00:00:40.64	13578.537	00:02:26.00	2	00:00:11.43	00:00:40.60	13395.811	00:00:00.00	0	00:02:36.30	00:03:00.65	
	10	4	42	100	0.5	0.66	13650.362	00:00:00.00	0	00:00:12.82	00:00:38.21	13522.77	00:00:00.00	0	00:04:54.19	00:05:24.10	12932.715	00:00:00.00	0	00:00:13.66	00:00:37.74	13606.662	00:00:00.00	0	00:08:45.47	00:09:16.19	12977.311	00:00:00.00	0	00:00:21.76	00:00:51.70	13280.176	00:00:00.00	0	00:10:16.59	00:10:46.26	13004.62	00:00:00.00	0	00:00:14.96	00:00:40.42	12977.311	00:00:00.00	0	00:00:20.95	00:00:50.18	12932.715	00:00:00.00	0	00:00:13.92	00:00:39.34	13606.662	00:00:00.00	0	00:08:45.21	00:09:15.35	
	10	2	42	200	0.5	0.66	13247.325	00:24:08.00	8	00:00:10.24	00:00:38.53	13060.09	00:31:39.00	6	00:01:58.65	00:02:25.04	13247.325	00:24:08.00	8	00:00:08.05	00:00:31.91	13224.874	00:24:06.00	8	00:02:07.35	00:02:30.53	11539.638	00:18:29.00	4	00:00:13.41	00:00:39.01	11842.961	00:13:59.00	4	00:04:55.56	00:05:20.66	11602.793	00:14:03.00	4	00:00:12.80	00:00:38.84	11539.638	00:18:29.00	4	00:00:12.61	00:00:37.18	13247.325	00:24:08.00	8	00:00:09.44	00:00:36.84	13224.874	00:24:06.00	8	00:02:07.78	00:02:31.23	
	10	3	42	100	0.0	0.0	13033.832	00:00:55.00	1	00:00:19.09	00:00:42.53	12905.673	00:00:59.00	2	00:24:16.82	00:24:40.44	13393.279	00:00:00.00	0	00:00:20.68	00:00:45.10	13410.291	00:00:00.00	0	00:25:46.76	00:26:15.10	12204.388	00:00:16.00	1	00:00:22.64	00:00:49.75	12483.846	00:00:00.00	0	00:28:57.60	00:29:24.71	12774.897	00:00:00.00	0	00:00:19.52	00:00:43.25	12204.388	00:00:16.00	1	00:00:22.40	00:00:49.30	13393.279	00:00:00.00	0	00:00:20.79	00:00:44.99	13410.291	00:00:00.00	0	00:25:49.03	00:26:17.44	
	10	4	42	500	1.0	1.0	14159.407	00:00:02.00	1	00:00:03.84	00:00:33.25	14159.407	00:00:02.00	1	00:00:04.75	00:00:34.76	14159.407	00:00:02.00	1	00:00:03.56	00:00:32.33	14159.407	00:00:02.00	1	00:00:04.64	00:00:34.63	13246.598	00:01:23.00	2	00:00:03.54	00:00:30.28	13246.598	00:01:23.00	2	00:00:05.07	00:00:34.37	13669.539	00:00:02.00	1	00:00:03.68	00:00:31.99	13246.598	00:01:23.00	2	00:00:03.62	00:00:30.74	14159.407	00:00:02.00	1	00:00:03.65	00:00:31.99	14159.407	00:00:02.00	1	00:00:04.64	00:00:34.46	
	10	2	42	200	0.0	0.0	13330.57	00:31:04.00	6	00:00:16.72	00:00:44.91	12988.953	00:32:13.00	7	00:19:11.25	00:19:38.17	12743.368	00:15:48.00	5	00:00:18.88	00:00:45.36	12311.425	00:15:23.00	4	00:16:41.12	00:17:08.26	12168.429	00:06:53.00	4	00:00:18.47	00:00:45.78	11712.738	00:14:05.00	4	00:23:52.62	00:24:17.19	11602.793	00:14:05.00	4	00:00:22.58	00:00:49.13	12168.429	00:06:53.00	4	00:00:16.43	00:00:41.08	12743.368	00:15:48.00	5	00:00:19.63	00:00:47.88	12311.425	00:15:23.00	4	00:17:00.84	00:17:24.44	
