							Greedy					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	42	300	0.5	1.0	12884.469	00:08:00.00	3	00:00:36.14	00:01:03.86	
	10	3	42	400	0.5	1.0	12297.007	00:07:57.00	3	00:00:37.94	00:01:04.92	
	10	3	42	200	0.5	1.0	12297.007	00:07:57.00	3	00:00:36.94	00:01:03.10	
	10	3	42	100	0.5	1.0	12297.007	00:07:57.00	3	00:00:36.82	00:01:03.15	
	10	2	42	400	0.0	0.0	12071.177	00:11:37.00	4	00:01:03.93	00:01:30.53	
	10	2	42	400	1.0	1.0	12895.968	00:15:20.00	8	00:00:26.16	00:00:55.06	
	10	2	42	400	0.5	1.0	12455.383	00:24:02.00	8	00:00:39.80	00:01:05.84	
	10	3	42	500	0.0	0.0	12053.166	00:00:48.00	1	00:00:54.06	00:01:20.65	
	10	4	42	500	1.0	0.66	12731.424	00:00:00.00	0	00:00:36.77	00:01:07.38	
	10	4	42	400	0.5	1.0	12884.469	00:08:00.00	3	00:00:36.72	00:01:04.77	
	10	3	42	300	1.0	1.0	13595.647	00:00:46.00	3	00:00:22.30	00:00:51.07	
	10	3	42	200	0.0	0.0	12053.166	00:00:48.00	1	00:00:56.60	00:01:23.86	
	10	4	42	200	0.5	0.66	12724.045	00:00:00.00	0	00:00:41.58	00:01:09.97	
	10	2	42	400	0.5	0.33	12723.649	00:14:39.00	4	00:00:45.10	00:01:12.20	
	10	2	42	200	1.0	1.0	12895.968	00:15:20.00	8	00:00:23.57	00:00:50.72	
	10	2	42	300	0.0	0.0	12071.177	00:11:37.00	4	00:01:08.17	00:01:35.49	
	10	3	42	500	0.5	0.66	12009.718	00:19:15.00	6	00:00:41.85	00:01:07.86	
	10	3	42	100	1.0	1.0	13595.647	00:00:46.00	3	00:00:30.58	00:01:03.96	
	10	2	42	400	0.5	0.66	12614.08	00:57:07.00	11	00:00:48.70	00:01:15.50	
	10	4	42	400	0.5	0.33	12170.424	00:00:00.00	0	00:00:42.24	00:01:09.54	
	10	3	42	400	1.0	1.0	13595.647	00:00:46.00	3	00:00:21.99	00:00:43.99	
	10	2	42	100	1.0	0.66	12305.542	00:09:01.00	4	00:00:35.51	00:01:03.13	
	10	2	42	300	1.0	1.0	12895.968	00:15:20.00	8	00:00:24.53	00:00:52.45	
	10	2	42	200	1.0	0.33	12614.472	00:09:06.00	4	00:00:39.37	00:01:06.66	
	10	4	42	300	0.0	0.0	12569.508	00:00:00.00	0	00:00:52.61	00:01:19.98	
	10	3	42	200	1.0	0.66	12942.247	00:00:00.00	0	00:00:34.31	00:01:05.76	
	10	4	42	200	0.0	0.0	12569.508	00:00:00.00	0	00:00:53.64	00:01:21.25	
	10	4	42	300	0.5	0.33	12170.424	00:00:00.00	0	00:00:43.16	00:01:10.63	
	10	3	42	100	0.5	0.33	11952.2	00:06:29.00	2	00:00:48.14	00:01:15.96	

DISTANCES
