							ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					ACO_F1=5_F2=1_Sync=100					ACO_F1=5_F2=1_Sync=1000					ACO_F1=F2=1_Sync=100					ACO_F1=F2=1_Sync=1000					Greedy					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	21	100	0.5	0.66	6733.174	00:29:10.00	9	00:00:08.27	00:00:22.88	6331.312	00:31:04.00	8	00:02:54.46	00:03:11.68	5911.369	00:28:22.00	7	00:00:08.61	00:00:23.78	5911.369	00:28:22.00	7	00:02:55.66	00:03:12.29	6733.174	00:29:10.00	9	00:00:09.56	00:00:26.06	6331.312	00:31:04.00	8	00:02:54.69	00:03:12.00	6997.117	00:21:17.00	6	00:00:43.70	00:01:00.31	
	10	2	21	300	1.0	0.33	6820.828	00:18:01.00	8	00:00:11.36	00:00:30.04	6820.828	00:18:01.00	8	00:03:56.29	00:04:11.25	6334.82	00:18:06.00	9	00:00:11.27	00:00:29.27	6334.82	00:18:06.00	9	00:03:52.36	00:04:10.26	6820.828	00:18:01.00	8	00:00:11.26	00:00:29.96	6820.828	00:18:01.00	8	00:03:54.34	00:04:13.56	6607.844	00:18:47.00	6	00:00:59.31	00:01:19.32	
	10	2	21	300	0.5	0.33	6705.445	00:16:00.00	6	00:00:11.98	00:00:29.98	6798.442	00:18:30.00	6	00:04:18.00	00:04:36.83	6795.026	00:31:45.00	6	00:00:12.31	00:00:30.93	6347.528	00:18:12.00	9	00:05:18.52	00:05:33.35	6705.445	00:16:00.00	6	00:00:12.49	00:00:31.20	6798.442	00:18:30.00	6	00:04:15.78	00:04:34.67	7453.518	00:18:35.00	7	00:01:00.77	00:01:19.78	
	10	3	21	200	0.0	0.0	7539.525	00:06:40.00	5	00:00:09.60	00:00:29.03	7458.199	00:04:11.00	4	00:05:01.65	00:05:18.51	6829.101	00:04:11.00	4	00:00:12.73	00:00:31.48	6956.633	00:04:13.00	4	00:07:06.57	00:07:23.02	7539.525	00:06:40.00	5	00:00:10.67	00:00:31.89	7458.199	00:04:11.00	4	00:05:00.89	00:05:18.79	6995.917	00:04:03.00	5	00:01:14.12	00:01:35.78	
	10	3	21	200	0.5	1.0	7564.537	00:07:04.00	4	00:00:10.54	00:00:31.46	7564.537	00:07:04.00	4	00:02:29.95	00:02:49.22	7315.54	00:07:36.00	4	00:00:11.93	00:00:32.65	7205.162	00:07:08.00	4	00:02:51.80	00:03:08.59	7564.537	00:07:04.00	4	00:00:10.00	00:00:30.01	7564.537	00:07:04.00	4	00:02:31.01	00:02:51.07	7709.305	00:05:04.00	5	00:00:48.23	00:01:10.62	
	10	3	21	400	1.0	0.33	7448.976	00:04:11.00	4	00:00:13.60	00:00:34.38	7448.976	00:04:11.00	4	00:05:02.70	00:05:24.02	6826.528	00:04:13.00	4	00:00:14.25	00:00:32.79	6959.208	00:04:11.00	4	00:07:03.05	00:07:19.34	7448.976	00:04:11.00	4	00:00:12.98	00:00:33.07	7448.976	00:04:11.00	4	00:05:02.34	00:05:20.02	7152.408	00:04:24.00	5	00:00:46.68	00:01:06.33	
	10	2	21	400	0.5	0.66	6490.047	00:29:53.00	9	00:00:10.97	00:00:28.31	6259.161	00:28:48.00	7	00:03:08.45	00:03:26.16	5911.369	00:28:22.00	7	00:00:09.81	00:00:26.59	5911.369	00:28:22.00	7	00:03:03.60	00:03:17.79	6490.047	00:29:53.00	9	00:00:11.59	00:00:29.91	6259.161	00:28:48.00	7	00:03:07.34	00:03:24.54	6997.117	00:21:17.00	6	00:00:50.78	00:01:09.08	
	10	3	21	300	0.0	0.0	7515.774	00:06:34.00	5	00:00:08.07	00:00:25.52	7440.927	00:04:15.00	4	00:04:58.61	00:05:15.27	6959.208	00:04:11.00	4	00:00:11.64	00:00:29.38	6959.208	00:04:11.00	4	00:07:22.49	00:07:39.39	7515.774	00:06:34.00	5	00:00:08.98	00:00:28.29	7440.927	00:04:15.00	4	00:04:58.73	00:05:15.58	6995.917	00:04:03.00	5	00:01:01.82	00:01:21.09	
	10	3	21	400	0.5	1.0	7842.987	00:05:34.00	6	00:00:10.73	00:00:31.08	7564.537	00:07:04.00	4	00:02:31.05	00:02:52.08	7315.54	00:07:36.00	4	00:00:10.94	00:00:30.27	7205.162	00:07:08.00	4	00:02:54.53	00:03:11.73	7842.987	00:05:34.00	6	00:00:10.71	00:00:30.95	7564.537	00:07:04.00	4	00:02:30.70	00:02:49.11	7709.305	00:05:04.00	5	00:00:43.08	00:01:03.59	
	10	3	21	300	0.5	0.66	7189.55	00:13:18.00	4	00:00:12.03	00:00:31.65	6791.246	00:10:32.00	5	00:04:31.31	00:04:50.65	6319.406	00:10:43.00	5	00:00:14.16	00:00:32.40	6339.755	00:10:32.00	5	00:05:55.76	00:06:11.03	7189.55	00:13:18.00	4	00:00:12.22	00:00:31.94	6791.246	00:10:32.00	5	00:04:30.85	00:04:47.04	7181.518	00:07:41.00	4	00:00:48.05	00:01:07.28	
