							Greedy					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	21	400	0.5	0.66	00:00:54.21	
	10	4	21	300	0.5	0.66	00:01:00.77	
	10	4	21	100	1.0	0.33	00:01:02.99	
	10	4	21	200	1.0	0.33	00:01:04.73	
	10	4	21	500	1.0	0.33	00:01:02.01	
	10	4	21	400	1.0	0.33	00:01:08.89	
	10	4	21	300	1.0	0.33	00:01:06.32	
	10	4	21	100	0.5	0.33	00:01:11.74	
	10	4	21	200	0.5	0.33	00:01:07.16	
	10	4	21	500	0.5	0.33	00:01:08.47	
	10	4	21	400	0.5	0.33	00:01:11.63	
	10	4	21	300	0.5	0.33	00:01:16.00	
	10	4	21	100	1.0	1.0	00:00:51.76	
	10	4	21	200	1.0	1.0	00:00:53.02	
	10	4	21	500	1.0	1.0	00:00:58.53	
	10	4	21	400	1.0	1.0	00:00:51.07	
	10	4	21	300	1.0	1.0	00:00:56.31	
	10	4	21	100	0.5	1.0	00:01:08.18	
	10	4	21	200	0.5	1.0	00:01:09.87	
	10	4	21	500	0.5	1.0	00:01:07.66	
	10	4	21	400	0.5	1.0	00:01:09.40	
	10	4	21	300	0.5	1.0	00:01:08.65	
	10	4	21	100	0.0	0.0	00:04:59.64	
	10	4	21	200	0.0	0.0	00:01:13.72	
	10	4	21	500	0.0	0.0	00:01:14.17	
	10	4	21	400	0.0	0.0	00:01:14.71	
	10	4	21	300	0.0	0.0	00:01:17.69	
	10	4	21	100	1.0	0.66	00:00:54.36	
	10	4	21	200	1.0	0.66	00:00:52.79	
	10	4	21	500	1.0	0.66	00:00:52.86	
	10	4	21	400	1.0	0.66	00:00:53.38	
	10	4	21	300	1.0	0.66	00:00:51.91	

AVG OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Greedy	
	10	4	21		0.5	0.66	00:01:00.47	
	10	4	21		1.0	0.33	00:01:04.99	
	10	4	21		0.5	0.33	00:01:11.00	
	10	4	21		1.0	1.0	00:00:54.14	
	10	4	21		0.5	1.0	00:01:08.75	
	10	4	21		0.0	0.0	00:01:59.99	
	10	4	21		1.0	0.66	00:00:53.06	
