							ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	2	33		0.5	1.0	00:00:10.75	00:02:58.73	1563.3783154955793	-93.98813853298272	
	10	2	33		1.0	0.33	00:00:12.44	00:04:51.23	2241.077170418007	-95.72846204031178	
	10	2	33		0.5	0.33	00:00:14.43	00:05:47.74	2309.80595980596	-95.85028829424705	
	10	2	33		1.0	0.66	00:00:05.21	00:00:38.61	641.1708253358925	-86.50783374336397	
	10	2	33		0.5	0.66	00:00:11.30	00:02:38.41	1301.9026548672564	-92.86683710507211	
	10	2	33		1.0	1.0	00:00:02.88	00:00:04.04	40.10416666666667	-28.624535315985135	
	10	2	33		0.0	0.0	00:00:52.97	00:08:26.02	855.2954502548612	-89.53203430694438	

OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	2	33	100	0.5	1.0	00:00:45.49	00:03:34.21	370.89470213233676	-78.7638298865599	
	10	2	33	200	0.5	1.0	00:00:49.48	00:03:43.03	350.7477768795473	-77.81464376989643	
	10	2	33	100	1.0	0.33	00:00:52.22	00:05:27.10	526.3883569513596	-84.0354631611128	
	10	2	33	200	1.0	0.33	00:00:51.49	00:05:33.34	547.3878422994757	-84.55330893382133	
	10	2	33	100	0.5	0.33	00:00:49.90	00:06:35.42	692.4248496993988	-87.38050680289314	
	10	2	33	200	0.5	0.33	00:00:54.56	00:06:27.59	610.3922287390029	-85.92326943419593	
	10	2	33	100	1.0	0.66	00:00:38.09	00:01:07.23	76.5030191651352	-43.34374535177748	
	10	2	33	200	1.0	0.66	00:00:45.12	00:01:21.30	80.18617021276596	-44.50184501845019	
	10	2	33	100	0.5	0.66	00:00:49.08	00:03:16.81	300.99837000815	-75.06224277221688	
	10	2	33	200	0.5	0.66	00:00:52.06	00:03:20.76	285.63196311947746	-74.0685395497111	
	10	2	33	100	1.0	1.0	00:00:43.98	00:00:45.44	3.319690768531153	-3.2130281690140863	
	10	2	33	200	1.0	1.0	00:00:39.21	00:00:42.55	8.518235144095884	-7.849588719153928	
