							Linear					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	42	400	0.0	0.0	13572.761	00:08:14.00	6	00:00:00.00	00:00:29.78	
	10	2	42	400	1.0	1.0	13563.662	00:23:40.00	8	00:00:00.00	00:00:29.71	
	10	2	42	400	0.5	1.0	13816.626	00:25:04.00	6	00:00:00.00	00:00:25.79	
	10	3	42	500	0.0	0.0	14106.123	00:00:00.00	0	00:00:00.00	00:00:30.05	
	10	4	42	500	1.0	0.66	14409.902	00:00:00.00	0	00:00:00.00	00:00:32.51	
	10	4	42	400	0.5	1.0	13852.972	00:06:41.00	5	00:00:00.00	00:00:29.03	
	10	3	42	300	1.0	1.0	14146.602	00:00:47.00	3	00:00:00.00	00:00:31.61	
	10	3	42	200	0.0	0.0	14106.123	00:00:00.00	0	00:00:00.00	00:00:31.34	
	10	4	42	200	0.5	0.66	13803.457	00:00:14.00	1	00:00:00.00	00:00:31.86	
	10	2	42	400	0.5	0.33	13814.495	00:24:39.00	8	00:00:00.00	00:00:32.23	
	10	2	42	200	1.0	1.0	13563.662	00:23:40.00	8	00:00:00.00	00:00:27.96	
	10	2	42	300	0.0	0.0	13572.761	00:08:14.00	6	00:00:00.00	00:00:33.57	
	10	3	42	500	0.5	0.66	13463.894	00:00:00.00	0	00:00:00.00	00:00:26.42	
	10	3	42	100	1.0	1.0	14146.602	00:00:47.00	3	00:00:00.00	00:00:29.95	
	10	2	42	400	0.5	0.66	13572.761	00:08:14.00	6	00:00:00.00	00:00:26.40	
	10	4	42	400	0.5	0.33	13961.573	00:04:21.00	2	00:00:00.00	00:00:30.29	
	10	3	42	400	1.0	1.0	14146.602	00:00:47.00	3	00:00:00.00	00:00:30.32	
	10	2	42	100	1.0	0.66	13563.662	00:08:07.00	6	00:00:00.00	00:00:28.10	
	10	2	42	300	1.0	1.0	13563.662	00:23:40.00	8	00:00:00.00	00:00:28.77	
	10	2	42	200	1.0	0.33	13563.662	00:08:07.00	6	00:00:00.00	00:00:26.40	
	10	4	42	300	0.0	0.0	14388.683	00:00:00.00	0	00:00:00.00	00:00:35.69	
	10	3	42	200	1.0	0.66	14092.349	00:00:00.00	0	00:00:00.00	00:00:30.45	
	10	4	42	200	0.0	0.0	14388.683	00:00:00.00	0	00:00:00.00	00:00:34.01	
	10	4	42	300	0.5	0.33	13961.573	00:04:21.00	2	00:00:00.00	00:00:30.83	
	10	3	42	100	0.5	0.33	14343.856	00:05:56.00	2	00:00:00.00	00:00:29.04	

DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	3	42	100	1.0	0.66	14092.349	
	10	3	42	200	1.0	0.66	14092.349	
	10	3	42	500	1.0	0.66	14092.349	
	10	3	42	400	1.0	0.66	14092.349	
	10	3	42	300	1.0	0.66	14092.349	
	10	4	42	100	1.0	1.0	14409.902	
	10	4	42	200	1.0	1.0	14409.902	
	10	4	42	500	1.0	1.0	14409.902	
	10	4	42	400	1.0	1.0	14409.902	
	10	4	42	300	1.0	1.0	14409.902	
	10	3	42	100	0.5	1.0	14177.562	
	10	3	42	200	0.5	1.0	14177.562	
	10	3	42	500	0.5	1.0	14177.562	
	10	3	42	400	0.5	1.0	14177.562	
	10	3	42	300	0.5	1.0	14177.562	
	10	3	42	100	1.0	1.0	14146.602	
	10	3	42	200	1.0	1.0	14146.602	
	10	3	42	500	1.0	1.0	14146.602	
	10	3	42	400	1.0	1.0	14146.602	
	10	3	42	300	1.0	1.0	14146.602	
	10	2	42	100	0.5	1.0	13816.626	
	10	2	42	200	0.5	1.0	13816.626	
	10	2	42	500	0.5	1.0	13816.626	
	10	2	42	400	0.5	1.0	13816.626	
	10	2	42	300	0.5	1.0	13816.626	
	10	4	42	100	1.0	0.33	14409.902	
	10	4	42	200	1.0	0.33	14409.902	
	10	4	42	500	1.0	0.33	14409.902	
	10	4	42	400	1.0	0.33	14409.902	
	10	4	42	300	1.0	0.33	14409.902	
	10	2	42	100	1.0	1.0	13563.662	
	10	2	42	200	1.0	1.0	13563.662	
	10	2	42	500	1.0	1.0	13563.662	
	10	2	42	400	1.0	1.0	13563.662	
	10	2	42	300	1.0	1.0	13563.662	
	10	4	42	100	0.0	0.0	14388.683	
	10	4	42	200	0.0	0.0	14388.683	
	10	4	42	500	0.0	0.0	14388.683	
	10	4	42	400	0.0	0.0	14388.683	
	10	4	42	300	0.0	0.0	14388.683	
	10	2	42	100	0.5	0.66	13572.761	
	10	2	42	200	0.5	0.66	13572.761	
	10	2	42	500	0.5	0.66	13572.761	
	10	2	42	400	0.5	0.66	13572.761	
	10	2	42	300	0.5	0.66	13572.761	
	10	2	42	100	1.0	0.33	13563.662	
