							Linear					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	21	100	0.5	1.0	00:00:19.97	
	10	3	21	100	0.0	0.0	00:00:22.64	
	10	2	21	100	1.0	0.33	00:00:19.96	
	10	2	21	100	1.0	1.0	00:00:19.99	
	10	4	21	100	1.0	1.0	00:00:23.10	
	10	4	21	100	1.0	0.66	00:00:21.53	
	10	2	21	100	0.5	0.66	00:00:20.33	
	10	4	21	100	0.0	0.0	00:00:24.69	

AVG OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21		0.5	0.66	00:00:21.85	
	10	3	21		0.5	1.0	00:00:22.60	
	10	3	21		1.0	0.33	00:00:22.03	
	10	4	21		0.5	0.33	00:00:22.82	
	10	3	21		0.5	0.33	00:00:24.72	
	10	4	21		0.5	1.0	00:00:22.90	
	10	3	21		0.5	0.66	00:00:21.48	
	10	3	21		1.0	1.0	00:00:22.70	
	10	2	21		1.0	0.66	00:00:20.46	
	10	3	21		1.0	0.66	00:00:20.74	
	10	4	21		1.0	0.33	00:00:23.04	
	10	2	21		0.0	0.0	00:01:07.12	
	10	2	21		0.5	0.33	00:00:20.07	
	10	2	21		0.5	1.0	00:00:19.97	
	10	3	21		0.0	0.0	00:00:22.64	
	10	2	21		1.0	0.33	00:00:19.96	
	10	2	21		1.0	1.0	00:00:19.99	
	10	4	21		1.0	1.0	00:00:23.10	
	10	4	21		1.0	0.66	00:00:21.53	
	10	2	21		0.5	0.66	00:00:20.33	
	10	4	21		0.0	0.0	00:00:24.69	
